% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
0.103	1	47	11	4	1	28	9422	0	0
0.104	1	39	11	5	2	28	9422	0	0
0.105	1	36	11	6	5	28	9422	0	0
0.106	1	33	11	7	12	28	9422	0	0
0.107	1	37	11	8	20	28	9422	0	0
0.108	1	32	11	9	15	24	6882	0	0
0.109	1	38	11	10	8	22	5861	0	0
0.11	1	40	12	1	13	20	4904	0	0
0.111	1	35	12	2	18	20	4904	0	0
0.112	1	43	12	3	7	18	4107	0	0
0.113	1	42	12	4	9	16	3822	0	0
0.114	1	41	12	5	11	16	3822	0	0
0.115	1	34	12	6	16	14	3182	0	0
0.116	1	50	12	7	17	14	3182	0	0
0.117	1	48	12	8	19	14	3182	0	0
0.118	1	49	12	9	3	12	2481	0	0
0.119	1	31	12	10	4	12	2481	0	0
0.12	1	46	13	1	10	12	2481	0	0
0.121	1	45	13	2	6	8	1764	0	0
0.122	1	44	13	3	14	6	1287	0	0
0.203	1	47	21	4	1	28	9422	0	0
0.204	1	39	21	5	2	28	9422	0	0
0.205	1	36	21	6	5	28	9422	0	0
0.206	1	33	21	7	12	28	9422	0	0
0.207	1	37	21	8	20	28	9422	0	0
0.208	1	38	21	9	8	22	5861	0	0
0.209	1	32	21	10	15	24	6882	0	0
0.21	1	40	22	1	13	20	4904	0	0
0.211	1	35	22	2	18	20	4904	0	0
0.212	1	42	22	3	9	16	3822	0	0
0.213	1	41	22	4	11	16	3822	0	0
0.214	1	43	22	5	7	18	4107	0	0
0.215	1	34	22	6	16	14	3182	0	0
0.216	1	50	22	7	17	14	3182	0	0
0.217	1	48	22	8	19	14	3182	0	0
0.218	1	49	22	9	3	12	2481	0	0
0.219	1	31	22	10	4	12	2481	0	0
0.22	1	46	23	1	10	12	2481	0	0
0.221	1	45	23	2	6	8	1764	0	0
0.222	1	44	23	3	14	6	1287	0	0
0.303	1	47	31	4	1	28	9422	0	0
0.304	1	39	31	5	2	28	9422	0	0
0.305	1	36	31	6	5	28	9422	0	0
0.306	1	33	31	7	12	28	9422	0	0
0.307	1	37	31	8	20	28	9422	0	0
0.308	1	38	31	9	8	22	5861	0	0
0.309	1	32	31	10	15	24	6882	0	0
0.31	1	40	32	1	13	20	4904	0	0
0.311	1	42	32	2	9	16	3822	0	0
0.312	1	35	32	3	18	20	4904	0	0
0.313	1	41	32	4	11	16	3822	0	0
0.314	1	43	32	5	7	18	4107	0	0
