% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
105	1	47	1	0	28	9422	0	1
106	1	39	2	0	28	9422	0	1
107	1	36	5	0	28	9422	0	1
108	1	33	12	0	28	9422	0	1
109	1	37	20	0	28	9422	0	1
110	1	32	15	0	24	6882	0	1
111	1	38	8	0	22	5861	0	1
112	1	40	13	0	20	4904	0	1
113	1	35	18	0	20	4904	0	1
114	1	43	7	0	18	4107	0	1
115	1	42	9	0	16	3822	0	1
116	1	41	11	0	16	3822	0	1
117	1	34	16	0	14	3182	0	1
118	1	50	17	0	14	3182	0	1
119	1	48	19	0	14	3182	0	1
120	1	49	3	0	12	2481	0	1
121	1	31	4	0	12	2481	0	1
122	1	46	10	0	12	2481	0	1
123	1	45	6	0	8	1764	0	1
124	1	44	14	0	6	1287	0	1
205	1	47	1	0	28	9422	0	1
206	1	39	2	0	28	9422	0	1
207	1	36	5	0	28	9422	0	1
208	1	33	12	0	28	9422	0	1
209	1	37	20	0	28	9422	0	1
210	1	38	8	0	22	5861	0	1
211	1	32	15	0	24	6882	0	1
212	1	40	13	0	20	4904	0	1
213	1	35	18	0	20	4904	0	1
214	1	42	9	0	16	3822	0	1
215	1	41	11	0	16	3822	0	1
216	1	43	7	0	18	4107	0	1
217	1	34	16	0	14	3182	0	1
218	1	50	17	0	14	3182	0	1
219	1	48	19	0	14	3182	0	1
220	1	49	3	0	12	2481	0	1
221	1	31	4	0	12	2481	0	1
222	1	46	10	0	12	2481	0	1
223	1	45	6	0	8	1764	0	1
224	1	44	14	0	6	1287	0	1
305	1	47	1	0	28	9422	0	1
306	1	39	2	0	28	9422	0	1
307	1	36	5	0	28	9422	0	1
308	1	33	12	0	28	9422	0	1
309	1	37	20	0	28	9422	0	1
310	1	38	8	0	22	5861	0	1
311	1	32	15	0	24	6882	0	1
312	1	40	13	0	20	4904	0	1
313	1	42	9	0	16	3822	0	1
314	1	35	18	0	20	4904	0	1
315	1	41	11	0	16	3822	0	1
316	1	43	7	0	18	4107	0	1
317	1	34	16	0	14	3182	0	1
318	1	50	17	0	14	3182	0	1
319	1	48	19	0	14	3182	0	1
320	1	49	3	0	12	2481	0	1
321	1	31	4	0	12	2481	0	1
322	1	46	10	0	12	2481	0	1
323	1	45	6	0	8	1764	0	1
324	1	44	14	0	6	1287	0	1
405	1	47	1	0	28	9422	0	1
406	1	39	2	0	28	9422	0	1
407	1	36	5	0	28	9422	0	1
408	1	33	12	0	28	9422	0	1
409	1	37	20	0	28	9422	0	1
410	1	38	8	0	22	5861	0	1
411	1	32	15	0	24	6882	0	1
412	1	42	9	0	16	3822	0	1
413	1	40	13	0	20	4904	0	1
414	1	41	11	0	16	3822	0	1
415	1	35	18	0	20	4904	0	1
416	1	43	7	0	18	4107	0	1
417	1	34	16	0	14	3182	0	1
418	1	50	17	0	14	3182	0	1
419	1	48	19	0	14	3182	0	1
420	1	49	3	0	12	2481	0	1
421	1	31	4	0	12	2481	0	1
422	1	46	10	0	12	2481	0	1
423	1	45	6	0	8	1764	0	1
424	1	44	14	0	6	1287	0	1
505	1	47	1	0	28	9422	0	1
506	1	39	2	0	28	9422	0	1
507	1	36	5	0	28	9422	0	1
508	1	33	12	0	28	9422	0	1
509	1	37	20	0	28	9422	0	1
510	1	38	8	0	22	5861	0	1
511	1	42	9	0	16	3822	0	1
512	1	32	15	0	24	6882	0	1
513	1	40	13	0	20	4904	0	1
514	1	41	11	0	16	3822	0	1
515	1	35	18	0	20	4904	0	1
516	1	43	7	0	18	4107	0	1
517	1	34	16	0	14	3182	0	1
518	1	50	17	0	14	3182	0	1
519	1	48	19	0	14	3182	0	1
520	1	49	3	0	12	2481	0	1
521	1	31	4	0	12	2481	0	1
522	1	46	10	0	12	2481	0	1
523	1	45	6	0	8	1764	0	1
524	1	44	14	0	6	1287	0	1
605	1	47	1	0	28	9422	0	1
606	1	39	2	0	28	9422	0	1
607	1	36	5	0	28	9422	0	1
608	1	33	12	0	28	9422	0	1
609	1	37	20	0	28	9422	0	1
610	1	38	8	0	22	5861	0	1
611	1	42	9	0	16	3822	0	1
612	1	32	15	0	24	6882	0	1
613	1	41	11	0	16	3822	0	1
614	1	40	13	0	20	4904	0	1
615	1	35	18	0	20	4904	0	1
616	1	43	7	0	18	4107	0	1
617	1	34	16	0	14	3182	0	1
618	1	50	17	0	14	3182	0	1
619	1	48	19	0	14	3182	0	1
620	1	49	3	0	12	2481	0	1
621	1	31	4	0	12	2481	0	1
622	1	46	10	0	12	2481	0	1
623	1	45	6	0	8	1764	0	1
624	1	44	14	0	6	1287	0	1
705	1	19	26	0	26	7708	0	1
706	1	17	24	0	24	6882	0	1
707	1	5	21	0	14	3182	0	1
708	1	18	25	0	10	1980	0	1
709	1	16	23	0	6	1287	0	1
710	1	11	22	0	4	903	0	1
711	1	47	1	0	28	9422	0	1
712	1	39	2	0	28	9422	0	1
713	1	36	5	0	28	9422	0	1
714	1	33	12	0	28	9422	0	1
715	1	37	20	0	28	9422	0	1
716	1	38	8	0	22	5861	0	1
717	1	42	9	0	16	3822	0	1
718	1	41	11	0	16	3822	0	1
719	1	32	15	0	24	6882	0	1
720	1	40	13	0	20	4904	0	1
721	1	35	18	0	20	4904	0	1
722	1	43	7	0	18	4107	0	1
723	1	34	16	0	14	3182	0	1
724	1	50	17	0	14	3182	0	1
725	1	48	19	0	14	3182	0	1
726	1	49	3	0	12	2481	0	1
727	1	31	4	0	12	2481	0	1
728	1	46	10	0	12	2481	0	1
729	1	45	6	0	8	1764	0	1
730	1	44	14	0	6	1287	0	1
731	1	11	22	0	4	903	0	1
805	1	19	26	0	26	7708	0	1
806	1	17	24	0	24	6882	0	1
807	1	5	21	0	14	3182	0	1
808	1	18	25	0	10	1980	0	1
809	1	16	23	0	6	1287	0	1
810	1	47	1	0	28	9422	0	1
811	1	39	2	0	28	9422	0	1
812	1	36	5	0	28	9422	0	1
813	1	33	12	0	28	9422	0	1
814	1	37	20	0	28	9422	0	1
815	1	38	8	0	22	5861	0	1
816	1	42	9	0	16	3822	0	1
817	1	41	11	0	16	3822	0	1
818	1	32	15	0	24	6882	0	1
819	1	40	13	0	20	4904	0	1
820	1	35	18	0	20	4904	0	1
821	1	43	7	0	18	4107	0	1
822	1	34	16	0	14	3182	0	1
823	1	50	17	0	14	3182	0	1
824	1	48	19	0	14	3182	0	1
825	1	49	3	0	12	2481	0	1
826	1	31	4	0	12	2481	0	1
827	1	46	10	0	12	2481	0	1
828	1	45	6	0	8	1764	0	1
829	1	44	14	0	6	1287	0	1
830	1	11	22	0	4	903	0	1
831	1	11	22	0	4	903	0	1
905	1	6	27	0	16	3822	0	1
906	1	18	25	0	12	2481	0	1
907	1	19	26	0	26	7708	0	1
908	1	17	24	0	24	6882	0	1
909	1	5	21	0	14	3182	0	1
910	1	16	23	0	6	1287	0	1
911	1	47	1	0	28	9422	0	1
912	1	39	2	0	28	9422	0	1
913	1	36	5	0	28	9422	0	1
914	1	33	12	0	28	9422	0	1
915	1	37	20	0	28	9422	0	1
