% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
0.106	1	47	11	7	1	12	125
0.106	1	39	11	7	2	18	201
0.106	1	36	11	7	5	6	63
0.106	1	38	11	7	8	0	15
0.106	1	46	11	7	10	0	15
0.106	1	41	11	7	11	28	469
0.106	1	33	11	7	12	20	249
0.106	1	40	11	7	13	28	469
0.106	1	44	11	7	14	28	469
0.106	1	32	11	7	15	28	469
0.106	1	34	11	7	16	28	469
0.106	1	50	11	7	17	28	469
0.106	1	35	11	7	18	28	469
0.106	1	48	11	7	19	28	469
0.106	1	37	11	7	20	28	469
0.106	2	2	11	7	1	14	389
0.106	2	4	11	7	3	14	389
0.106	2	1	11	7	5	14	389
0.106	2	3	11	7	6	14	389
0.106	2	7	11	7	7	10	233
0.106	2	8	11	7	8	14	389
0.106	2	9	11	7	9	12	301
0.106	2	5	11	7	21	28	1095
0.106	3	20	11	7	3	8	241
0.106	3	15	11	7	4	10	277
0.106	3	14	11	7	7	6	185
0.106	3	13	11	7	9	4	125
0.106	3	12	11	7	10	12	349
0.106	3	18	11	7	24	28	1287
0.106	3	16	11	7	28	0	32
0.106	4	26	11	7	1	4	97
0.106	4	23	11	7	2	10	217
0.106	4	25	11	7	3	6	141
0.106	4	28	11	7	5	18	453
0.106	4	29	11	7	6	0	36
0.106	4	24	11	7	7	6	141
0.106	4	22	11	7	8	8	193
0.106	4	27	11	7	9	2	59
0.106	4	21	11	7	12	6	141
0.107	1	47	11	8	1	12	125
0.107	1	39	11	8	2	18	201
0.107	1	36	11	8	5	6	63
0.107	1	38	11	8	8	0	15
0.107	1	46	11	8	10	0	15
0.107	1	41	11	8	11	28	469
0.107	1	33	11	8	12	20	249
0.107	1	40	11	8	13	28	469
0.107	1	44	11	8	14	28	469
0.107	1	32	11	8	15	28	469
0.107	1	34	11	8	16	28	469
0.107	1	50	11	8	17	28	469
0.107	1	35	11	8	18	28	469
0.107	1	48	11	8	19	28	469
0.107	1	37	11	8	20	28	469
0.107	2	2	11	8	1	14	389
0.107	2	4	11	8	3	14	389
0.107	2	1	11	8	5	14	389
0.107	2	3	11	8	6	14	389
0.107	2	7	11	8	7	10	233
0.107	2	8	11	8	8	14	389
0.107	2	9	11	8	9	12	301
0.107	2	5	11	8	21	28	1095
0.107	3	20	11	8	3	8	241
0.107	3	15	11	8	4	10	277
0.107	3	14	11	8	7	6	185
0.107	3	13	11	8	9	4	125
0.107	3	12	11	8	10	12	349
0.107	3	18	11	8	24	28	1287
0.107	3	16	11	8	28	0	47
0.107	4	26	11	8	1	4	97
0.107	4	23	11	8	2	10	217
0.107	4	25	11	8	3	6	141
0.107	4	28	11	8	5	18	453
0.107	4	29	11	8	6	0	36
0.107	4	24	11	8	7	6	141
0.107	4	22	11	8	8	8	193
0.107	4	27	11	8	9	2	59
0.107	4	21	11	8	12	6	141
0.108	1	47	11	9	1	12	125
0.108	1	39	11	9	2	18	201
0.108	1	36	11	9	5	6	63
0.108	1	38	11	9	8	0	15
0.108	1	46	11	9	10	0	15
0.108	1	41	11	9	11	28	469
0.108	1	33	11	9	12	20	249
0.108	1	40	11	9	13	28	469
0.108	1	44	11	9	14	28	469
0.108	1	32	11	9	15	28	469
0.108	1	34	11	9	16	28	469
0.108	1	50	11	9	17	28	469
0.108	1	35	11	9	18	28	469
0.108	1	48	11	9	19	28	469
0.108	1	37	11	9	20	28	469
0.108	2	2	11	9	1	14	453
0.108	2	4	11	9	3	14	453
0.108	2	1	11	9	5	14	453
0.108	2	3	11	9	6	14	453
0.108	2	7	11	9	7	10	277
0.108	2	8	11	9	8	14	453
0.108	2	9	11	9	9	12	349
0.108	3	20	11	9	3	8	277
0.108	3	15	11	9	4	10	317
0.108	3	14	11	9	7	6	209
0.108	3	13	11	9	9	4	141
0.108	3	12	11	9	10	12	405
0.108	3	16	11	9	28	28	1287
0.108	4	26	11	9	1	4	97
0.108	4	23	11	9	2	10	217
0.108	4	25	11	9	3	6	141
0.108	4	28	11	9	5	18	453
0.108	4	29	11	9	6	0	36
0.108	4	24	11	9	7	6	141
0.108	4	22	11	9	8	8	193
0.108	4	27	11	9	9	2	59
0.108	4	21	11	9	12	6	141
0.109	1	47	11	10	1	12	149
0.109	1	39	11	10	2	18	241
0.109	1	36	11	10	5	6	75
0.109	1	38	11	10	8	0	19
0.109	1	46	11	10	10	0	19
0.109	1	33	11	10	12	20	293
0.109	1	40	11	10	13	28	549
0.109	1	32	11	10	15	28	549
0.109	1	34	11	10	16	28	549
0.109	1	35	11	10	18	28	549
0.109	1	37	11	10	20	28	549
0.109	2	1	11	10	5	14	1063
0.109	2	7	11	10	7	10	645
0.109	2	9	11	10	9	12	839
