% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct
112	2	2	1	0	14	389	0	1	1
112	2	4	3	0	14	389	0	1	1
112	2	1	5	0	14	389	0	1	1
112	2	3	6	0	14	389	0	1	1
112	2	7	7	0	10	233	0	1	1
112	2	8	8	0	14	389	0	1	0
112	2	9	9	0	12	301	0	1	1
112	2	5	21	0	28	1095	0	1	0
112	3	20	3	0	8	241	0	1	1
112	3	15	4	0	10	277	0	1	1
112	3	14	7	0	6	185	0	1	1
112	3	13	9	0	4	125	0	1	0
112	3	12	10	0	12	349	0	1	0
112	3	18	24	0	28	1287	0	1	0
112	3	16	28	0	0	32	0	1	0
112	3	0	35	0	0	19	0	1	0
112	4	26	1	0	4	97	0	1	1
112	4	23	2	0	10	217	0	1	0
112	4	25	3	0	6	141	0	1	1
112	4	28	5	0	18	453	0	1	0
112	4	29	6	0	0	36	0	1	0
112	4	24	7	0	6	141	0	1	1
112	4	22	8	0	8	193	0	1	1
112	4	27	9	0	2	59	0	1	1
112	4	21	12	0	6	141	0	1	1
112	1	47	1	0	12	125	0	1	1
112	1	39	2	0	18	201	0	1	0
112	1	36	5	0	6	63	0	1	1
112	1	38	8	0	0	15	0	1	1
112	1	46	10	0	0	15	0	1	1
112	1	41	11	0	28	469	0	1	0
112	1	33	12	0	20	249	0	1	0
112	1	40	13	0	28	469	0	1	0
112	1	44	14	0	28	469	0	1	0
112	1	32	15	0	28	469	0	1	0
112	1	34	16	0	28	469	0	1	0
112	1	50	17	0	28	469	0	1	0
112	1	35	18	0	28	469	0	1	0
112	1	48	19	0	28	469	0	1	0
112	1	37	20	0	28	469	0	1	0
113	2	2	1	0	14	389	0	1	1
113	2	4	3	0	14	389	0	1	1
113	2	1	5	0	14	389	0	1	1
113	2	3	6	0	14	389	0	1	1
113	2	7	7	0	10	233	0	1	0
113	2	8	8	0	14	389	0	1	1
113	2	9	9	0	12	301	0	1	0
113	2	5	21	0	28	1095	0	1	0
113	3	20	3	0	8	241	0	1	1
113	3	15	4	0	10	277	0	1	1
