% time	cellId	IMSI	RNTI	sinrLinear
0.041	2	2	1	20.1291
0.041	4	26	1	2.26354
0.041	1	47	1	15.4546
0.042	4	23	2	9.54495
0.042	1	39	2	37.8231
0.043	2	4	3	16.7801
0.043	3	20	3	6.15641
0.043	4	25	3	3.74871
0.043	1	49	3	0.111121
0.044	3	15	4	9.52327
0.044	1	31	4	0.257737
0.045	2	1	5	17.016
0.045	4	28	5	34.9026
0.045	1	36	5	3.63194
0.046	2	3	6	16.6286
0.046	4	29	6	0.815342
0.046	1	45	6	0.518337
0.047	2	7	7	7.94813
0.047	3	14	7	4.58554
0.047	4	24	7	4.43624
0.047	1	43	7	0.439398
0.048	2	8	8	22.1041
0.048	4	22	8	6.27491
0.048	1	38	8	0.647823
0.049	2	9	9	12.0789
0.049	3	13	9	1.74524
0.049	4	27	9	1.1198
0.049	1	42	9	0.229846
0.05	3	12	10	10.9788
0.05	1	46	10	0.640997
0.051	1	41	11	1375.86
0.052	4	21	12	2.91646
0.052	1	33	12	71.5701
0.053	1	40	13	983.94
0.054	1	44	14	2174.52
0.055	1	32	15	4977.04
0.056	1	34	16	671.967
0.057	1	50	17	743.853
0.058	1	35	18	1303.29
0.059	1	48	19	928.363
0.06	1	37	20	53274.8
0.064	3	18	24	5363.14
0.081	2	2	1	20.3375
0.081	4	26	1	2.2536
0.081	1	47	1	15.2526
0.082	4	23	2	9.52136
0.082	1	39	2	37.8394
0.083	2	4	3	16.8596
0.083	3	20	3	6.17215
0.083	4	25	3	3.80211
0.083	1	49	3	0.111264
0.084	3	15	4	9.37129
0.084	1	31	4	0.257843
0.085	2	1	5	16.8085
0.085	4	28	5	34.6507
0.085	1	36	5	3.65739
0.086	2	3	6	16.4795
0.086	4	29	6	0.808839
0.086	1	45	6	0.520469
0.087	2	7	7	7.88213
0.087	3	14	7	4.6332
0.087	4	24	7	4.46013
0.087	1	43	7	0.437818
0.088	2	8	8	22.3498
0.088	4	22	8	6.22883
0.088	1	38	8	0.651167
0.089	2	9	9	12.175
0.089	3	13	9	1.74471
0.089	4	27	9	1.1307
0.089	1	42	9	0.230108
0.09	3	12	10	10.9665
0.09	1	46	10	0.641472
0.091	1	41	11	1379.54
0.092	4	21	12	2.92565
0.092	1	33	12	70.745
0.093	1	40	13	982.564
0.094	1	44	14	2176.45
0.095	1	32	15	4953.74
0.096	1	34	16	673.127
0.097	1	50	17	742.61
0.098	1	35	18	1301.12
0.099	1	48	19	928.184
0.1	1	37	20	52857.9
0.101	2	5	21	7429.05
0.104	3	18	24	5336.86
0.108	3	16	28	6983.5
0.117	3	19	37	3994.77
0.121	2	2	1	20.5453
0.121	4	26	1	2.24364
0.121	1	47	1	15.0522
0.122	4	23	2	9.49742
0.122	1	39	2	37.8504
